date,sales,customer_segment,purchase_amount,feature1,feature2,feature3,target
2023-08-29,400,Segment C,308.21,14,125,0.184,646.49
2023-08-30,395,Segment B,281.81,72,108,0.411,923.99
2023-08-31,574,Segment B,313.2,67,141,0.106,836.0
2023-09-01,791,Segment B,297.86,77,348,0.962,653.79
2023-09-02,360,Segment A,212.73,47,485,0.609,270.2
2023-09-03,887,Segment B,128.89,78,216,0.835,269.84
2023-09-04,500,Segment A,374.75,11,341,0.185,609.7
2023-09-05,336,Segment C,455.67,2,470,0.393,150.54
2023-09-06,707,Segment A,258.96,68,314,0.94,836.8
2023-09-07,226,Segment B,39.36,71,178,0.373,802.81
2023-09-08,342,Segment A,378.79,70,356,0.573,171.28
2023-09-09,269,Segment A,274.19,65,305,0.412,264.09
2023-09-10,318,Segment B,215.5,11,51,0.29,403.28
2023-09-11,602,Segment C,472.27,33,82,0.525,753.14
2023-09-12,715,Segment C,67.86,65,378,0.297,337.41
2023-09-13,791,Segment A,455.63,72,290,0.368,824.74
2023-09-14,352,Segment B,14.68,88,85,0.738,227.81
2023-09-15,159,Segment B,311.11,77,372,0.375,495.62
2023-09-16,704,Segment A,348.65,92,191,0.457,193.72
2023-09-17,679,Segment A,384.29,22,346,0.334,607.88
2023-09-18,613,Segment A,15.73,27,192,0.652,227.05
2023-09-19,137,Segment C,413.4,93,452,0.934,578.76
2023-09-20,153,Segment A,433.55,69,447,0.471,772.03
2023-09-21,121,Segment B,469.22,92,178,0.241,869.69
2023-09-22,862,Segment A,142.21,47,408,0.365,984.71
2023-09-23,730,Segment A,392.25,10,259,0.981,738.54
2023-09-24,395,Segment A,219.04,5,201,0.514,842.67
2023-09-25,921,Segment B,133.78,94,171,1.0,898.9
2023-09-26,389,Segment C,458.13,65,361,0.596,727.03
2023-09-27,766,Segment B,131.55,87,463,0.164,589.56
2023-09-28,136,Segment B,78.4,4,205,0.388,148.45
2023-09-29,171,Segment A,130.98,29,350,0.898,829.89
2023-09-30,810,Segment B,55.81,83,110,0.97,357.97
2023-10-01,646,Segment B,309.42,33,57,0.253,863.38
2023-10-02,982,Segment C,447.68,14,229,0.648,706.67
2023-10-03,380,Segment C,49.31,55,423,0.812,140.71
2023-10-04,485,Segment C,343.56,28,474,0.661,613.9
2023-10-05,929,Segment C,428.23,16,61,0.362,458.85
2023-10-06,717,Segment A,99.02,79,145,0.945,781.65
2023-10-07,225,Segment B,108.45,35,54,0.343,817.01
2023-10-08,543,Segment C,464.27,69,471,0.559,402.69
2023-10-09,227,Segment A,291.41,28,462,0.833,970.73
2023-10-10,967,Segment C,90.09,94,153,0.801,388.07
2023-10-11,477,Segment A,386.34,94,163,0.97,247.15
2023-10-12,991,Segment A,277.8,26,128,0.841,179.67
2023-10-13,644,Segment A,229.54,23,129,0.402,171.91
2023-10-14,562,Segment B,202.32,89,310,0.659,951.65
2023-10-15,366,Segment C,149.53,54,242,0.279,849.8
2023-10-16,948,Segment A,399.88,87,401,0.621,455.4
2023-10-17,288,Segment B,300.05,70,287,0.55,620.36
2023-10-18,777,Segment A,341.59,2,103,0.446,299.26
2023-10-19,113,Segment A,375.35,54,100,0.539,406.63
2023-10-20,229,Segment A,67.44,55,337,0.74,960.46
2023-10-21,190,Segment B,399.67,65,102,0.655,128.61
2023-10-22,157,Segment A,173.63,4,404,0.654,475.28
2023-10-23,662,Segment A,485.21,3,62,0.652,627.79
2023-10-24,154,Segment A,437.63,48,116,0.614,443.67
2023-10-25,585,Segment B,108.81,56,275,0.417,486.14
2023-10-26,544,Segment B,498.99,26,468,0.446,114.46
2023-10-27,187,Segment C,35.01,60,200,0.87,144.79
2023-10-28,493,Segment A,471.86,24,396,0.932,871.7
2023-10-29,543,Segment A,302.39,33,461,0.462,381.1
2023-10-30,503,Segment B,442.34,20,166,0.252,125.42
2023-10-31,185,Segment C,246.04,37,75,0.618,136.26
2023-11-01,537,Segment A,119.41,58,351,0.276,816.83
2023-11-02,262,Segment C,20.17,71,206,0.602,143.1
2023-11-03,221,Segment C,166.41,99,225,0.358,495.95
2023-11-04,783,Segment B,101.32,55,322,0.421,964.72
2023-11-05,431,Segment A,294.12,3,481,0.7,382.84
2023-11-06,701,Segment C,57.35,73,247,0.861,555.37
2023-11-07,684,Segment B,435.26,52,281,0.127,316.36
2023-11-08,900,Segment B,46.25,75,404,0.861,535.95
2023-11-09,902,Segment A,73.51,97,61,0.17,808.53
2023-11-10,981,Segment A,177.16,94,57,0.456,169.03
2023-11-11,599,Segment A,141.09,27,464,0.304,296.06
2023-11-12,753,Segment B,211.61,71,487,0.833,868.34
2023-11-13,114,Segment C,17.07,87,154,0.983,578.99
2023-11-14,288,Segment B,220.05,16,260,0.191,619.8
2023-11-15,720,Segment C,289.53,46,148,0.774,485.78
2023-11-16,620,Segment A,207.26,11,465,0.354,885.79
2023-11-17,211,Segment A,323.1,68,167,0.422,155.62
2023-11-18,460,Segment A,427.49,60,202,0.117,770.61
2023-11-19,569,Segment B,184.93,37,313,0.224,801.25
2023-11-20,286,Segment B,319.48,79,320,0.707,863.78
2023-11-21,568,Segment A,399.53,28,148,0.527,260.66
2023-11-22,710,Segment C,239.28,61,331,0.27,445.91
2023-11-23,713,Segment C,466.41,37,323,0.236,844.02
2023-11-24,579,Segment A,269.71,53,354,0.648,549.94
2023-11-25,154,Segment B,20.09,18,434,0.174,174.72
2023-11-26,689,Segment C,426.36,24,302,0.704,909.67
2023-11-27,244,Segment B,263.46,89,333,0.44,527.68
2023-11-28,167,Segment C,209.97,78,343,0.622,635.39
2023-11-29,857,Segment C,132.72,19,413,0.994,144.04
2023-11-30,272,Segment C,194.14,20,255,0.262,601.49
2023-12-01,126,Segment A,415.1,18,109,0.21,279.07
2023-12-02,340,Segment A,120.41,34,418,0.918,905.12
2023-12-03,374,Segment A,211.2,62,376,0.413,202.74
2023-12-04,443,Segment A,111.19,22,448,0.143,668.09
2023-12-05,533,Segment C,197.33,76,445,0.732,665.6
2023-12-06,405,Segment B,214.7,71,371,0.954,138.17
2023-12-07,793,Segment A,35.6,83,112,0.977,263.04
2023-12-08,362,Segment B,215.76,10,101,0.451,720.36
2023-12-09,393,Segment C,27.26,1,262,0.549,196.5
2023-12-10,116,Segment A,18.27,99,183,0.317,996.59
2023-12-11,174,Segment C,31.57,47,94,0.404,432.53
2023-12-12,736,Segment B,408.83,28,69,0.378,808.66
2023-12-13,432,Segment A,53.68,72,112,0.78,349.07
2023-12-14,518,Segment B,105.75,80,473,0.516,992.94
2023-12-15,817,Segment B,273.87,75,493,0.817,692.78
2023-12-16,956,Segment B,238.09,39,471,0.386,357.06
2023-12-17,105,Segment B,120.26,95,98,0.899,928.39
2023-12-18,613,Segment C,160.18,74,161,0.114,755.87
2023-12-19,130,Segment C,138.46,92,382,0.574,745.83
2023-12-20,322,Segment A,313.24,75,297,0.694,994.32
2023-12-21,394,Segment A,453.74,4,272,0.142,671.46
2023-12-22,634,Segment B,260.89,60,405,0.929,618.2
2023-12-23,121,Segment A,34.51,16,142,0.973,340.54
2023-12-24,836,Segment B,335.91,64,269,0.585,530.51
2023-12-25,100,Segment C,429.48,24,405,0.305,312.57
2023-12-26,501,Segment B,70.18,71,339,0.958,482.93
2023-12-27,585,Segment B,238.0,55,181,0.609,565.29
2023-12-28,559,Segment C,445.38,14,102,0.444,584.21
2023-12-29,743,Segment B,311.54,89,245,0.965,602.58
2023-12-30,887,Segment A,223.84,38,306,0.129,919.12
2023-12-31,263,Segment A,208.29,25,268,0.341,333.32
2023-01-01,346,Segment A,352.09,94,437,0.948,793.88
2023-01-02,637,Segment A,364.28,84,215,0.938,843.57
2023-01-03,519,Segment A,488.98,74,421,0.524,383.71
2023-01-04,526,Segment C,411.78,15,231,0.349,664.84
2023-01-05,329,Segment A,493.74,86,307,0.161,793.12
2023-01-06,237,Segment A,16.76,38,157,0.735,146.66
2023-01-07,136,Segment A,172.29,58,335,0.824,915.83
2023-01-08,960,Segment B,497.79,58,351,0.286,247.97
2023-01-09,297,Segment B,383.46,40,458,0.702,104.61
2023-01-10,608,Segment C,374.96,9,368,0.807,228.17
2023-01-11,892,Segment A,172.4,23,158,0.751,207.52
2023-01-12,335,Segment A,113.98,79,210,0.207,329.83
2023-01-13,531,Segment A,132.62,85,232,0.387,161.24
2023-01-14,429,Segment A,394.7,43,374,0.99,776.49
2023-01-15,140,Segment A,380.04,52,492,0.421,990.87
2023-01-16,227,Segment B,209.4,80,429,0.303,237.26
2023-01-17,565,Segment C,224.7,77,100,0.242,586.99
2023-01-18,686,Segment A,181.39,16,497,0.283,951.38
2023-01-19,315,Segment C,285.08,8,53,0.929,535.86
2023-01-20,965,Segment A,108.28,30,394,0.251,453.04
2023-01-21,574,Segment A,397.63,29,335,0.309,431.09
2023-01-22,396,Segment B,404.74,70,116,0.232,561.52
2023-01-23,190,Segment B,270.04,33,280,0.433,109.3
2023-01-24,310,Segment A,149.87,27,94,0.322,364.22
2023-01-25,227,Segment B,153.18,52,228,0.337,209.55
2023-01-26,340,Segment A,44.02,80,194,0.932,583.9
2023-01-27,346,Segment B,464.77,25,483,0.553,744.63
2023-01-28,441,Segment B,350.41,26,223,0.639,933.45
2023-01-29,237,Segment C,236.53,97,470,0.27,315.58
2023-01-30,196,Segment A,183.0,53,222,0.864,489.49
2023-01-31,229,Segment C,228.88,46,251,0.613,565.02
2023-02-01,416,Segment B,435.31,53,497,0.798,490.78
2023-02-02,650,Segment B,153.39,80,169,0.684,587.86
2023-02-03,662,Segment B,473.93,18,184,0.888,111.55
2023-02-04,500,Segment A,189.42,65,307,0.377,782.7
2023-02-05,901,Segment A,344.92,85,382,0.472,297.96
2023-02-06,602,Segment B,497.55,61,90,0.246,730.19
2023-02-07,142,Segment A,223.61,72,106,0.361,229.22
2023-02-08,679,Segment B,250.71,58,50,0.452,107.28
2023-02-09,804,Segment B,412.33,60,430,0.844,448.33
2023-02-10,111,Segment B,12.42,98,195,0.23,885.64
2023-02-11,556,Segment B,77.78,41,363,0.363,710.24
2023-02-12,904,Segment A,440.95,27,256,0.275,979.79
2023-02-13,186,Segment B,351.38,54,338,0.601,258.31
2023-02-14,986,Segment B,441.38,32,239,0.753,268.53
2023-02-15,852,Segment A,460.79,69,69,0.825,821.4
2023-02-16,990,Segment B,394.26,1,366,0.548,534.58
2023-02-17,383,Segment A,392.46,78,371,0.716,355.16
2023-02-18,863,Segment C,11.6,80,418,0.28,466.49
2023-02-19,697,Segment C,453.07,74,469,0.782,309.32
2023-02-20,416,Segment B,354.17,23,484,0.683,662.2
2023-02-21,354,Segment A,136.23,87,228,0.475,876.31
2023-02-22,705,Segment C,22.84,9,273,0.687,784.59
2023-02-23,458,Segment C,252.23,37,313,0.445,488.89
2023-02-24,896,Segment A,272.85,58,366,0.997,617.14
2023-02-25,326,Segment A,324.25,37,120,0.77,463.07
2023-02-26,967,Segment C,376.26,61,138,0.642,346.56
2023-02-27,507,Segment A,160.73,61,215,0.222,804.66
2023-02-28,164,Segment B,267.97,74,217,0.327,615.06
2023-03-01,911,Segment B,358.69,20,54,0.366,886.37
2023-03-02,540,Segment A,339.02,90,365,0.605,789.18
2023-03-03,862,Segment B,315.21,72,376,0.756,697.92
2023-03-04,227,Segment B,418.73,40,302,0.666,600.69
2023-03-05,428,Segment C,76.71,48,67,0.764,643.18
2023-03-06,540,Segment B,125.13,43,246,0.777,805.15
2023-03-07,448,Segment C,414.01,87,92,0.911,396.81
2023-03-08,341,Segment C,56.25,7,102,0.276,845.88
2023-03-09,132,Segment C,253.96,78,416,0.715,588.02
2023-03-10,173,Segment B,371.17,14,183,0.208,354.22
2023-03-11,683,Segment B,26.89,87,449,0.779,282.65
2023-03-12,734,Segment C,112.05,40,355,0.42,728.5
2023-03-13,787,Segment C,486.99,63,218,0.924,640.22
2023-03-14,775,Segment A,222.73,16,430,0.244,670.32
2023-03-15,854,Segment B,102.65,77,330,0.121,280.39
2023-03-16,643,Segment A,205.74,65,161,0.98,604.56
2023-03-17,359,Segment C,398.48,12,106,0.117,701.29
2023-03-18,172,Segment B,170.82,22,134,0.709,301.32
2023-03-19,765,Segment B,319.08,54,491,0.832,718.6
2023-03-20,174,Segment B,219.37,74,188,0.392,301.46
2023-03-21,912,Segment C,453.18,10,153,0.693,901.3
2023-03-22,641,Segment B,116.1,39,118,0.227,303.34
2023-03-23,970,Segment B,122.39,35,124,0.825,911.22
2023-03-24,628,Segment B,191.95,38,323,0.28,912.78
2023-03-25,271,Segment A,248.14,97,263,0.931,471.36
2023-03-26,357,Segment B,113.02,97,85,0.69,819.35
2023-03-27,780,Segment C,138.8,63,451,0.961,870.46
2023-03-28,628,Segment C,313.69,63,263,0.759,595.62
2023-03-29,179,Segment B,412.1,48,173,0.636,156.2
2023-03-30,375,Segment B,438.43,56,420,0.695,867.72
2023-03-31,406,Segment C,319.09,60,200,0.701,703.84
2023-04-01,786,Segment A,165.37,71,417,0.788,243.43
2023-04-02,406,Segment A,170.58,43,469,0.826,182.7
2023-04-03,516,Segment A,346.94,19,62,0.833,417.21
2023-04-04,860,Segment A,127.42,46,251,0.505,423.16
2023-04-05,828,Segment B,101.78,87,408,0.48,548.38
2023-04-06,515,Segment C,397.23,29,428,0.97,804.25
2023-04-07,683,Segment C,139.75,65,52,0.473,133.59
2023-04-08,949,Segment B,431.52,63,456,0.856,724.92
2023-04-09,882,Segment A,209.87,60,305,0.386,917.15
2023-04-10,621,Segment A,441.2,28,343,0.604,723.91
2023-04-11,992,Segment C,46.74,69,191,0.442,296.59
2023-04-12,375,Segment B,264.29,91,69,0.137,273.46
2023-04-13,324,Segment A,65.91,70,76,0.679,326.38
2023-04-14,322,Segment C,46.25,70,204,0.5,673.64
2023-04-15,762,Segment A,58.88,39,365,0.188,928.79
2023-04-16,897,Segment A,39.26,91,57,0.846,514.61
2023-04-17,384,Segment A,408.79,39,331,0.817,355.42
2023-04-18,170,Segment A,382.16,9,175,0.256,274.92
2023-04-19,540,Segment B,346.23,30,260,0.243,920.13
2023-04-20,523,Segment A,80.85,15,365,0.575,726.42
2023-04-21,679,Segment C,35.21,26,64,0.96,825.2
2023-04-22,321,Segment C,270.78,47,175,0.257,876.86
2023-04-23,116,Segment C,331.82,18,220,0.724,760.18
2023-04-24,266,Segment B,116.84,69,457,0.436,369.43
2023-04-25,443,Segment B,456.83,77,214,0.49,567.04
2023-04-26,144,Segment B,176.29,98,392,0.506,262.51
2023-04-27,255,Segment B,321.85,29,304,0.937,156.54
2023-04-28,685,Segment A,452.71,88,475,0.652,882.15
2023-04-29,567,Segment B,59.17,12,447,0.949,861.41
2023-04-30,674,Segment B,59.49,87,246,0.128,193.3
2023-05-01,577,Segment B,134.07,11,181,0.537,208.47
2023-05-02,155,Segment B,335.34,83,231,0.981,562.94
2023-05-03,351,Segment A,239.28,39,80,0.633,773.65
2023-05-04,308,Segment B,499.26,94,320,0.488,233.48
2023-05-05,456,Segment B,391.05,46,71,0.307,415.4
2023-05-06,422,Segment B,268.96,20,218,0.153,208.16
2023-05-07,801,Segment B,17.81,34,166,0.105,100.45
2023-05-08,802,Segment C,246.53,56,275,0.784,759.05
2023-05-09,562,Segment C,255.49,14,342,0.675,402.91
2023-05-10,522,Segment B,492.04,37,458,0.232,699.51
2023-05-11,703,Segment C,23.2,28,161,0.317,628.31
2023-05-12,381,Segment A,256.96,36,200,0.988,555.8
2023-05-13,639,Segment B,133.64,68,395,0.17,106.32
2023-05-14,798,Segment C,336.09,58,221,0.726,410.38
2023-05-15,176,Segment A,45.67,8,337,0.94,375.55
2023-05-16,401,Segment B,197.19,75,175,0.126,514.77
2023-05-17,581,Segment C,113.52,11,217,0.392,415.26
2023-05-18,181,Segment B,161.42,29,444,0.254,347.9
2023-05-19,669,Segment A,276.15,65,211,0.882,852.73
2023-05-20,501,Segment B,52.59,74,58,0.936,799.49
2023-05-21,352,Segment B,95.81,2,289,0.519,920.93
2023-05-22,466,Segment B,338.05,19,261,0.332,759.3
2023-05-23,359,Segment B,75.54,76,194,0.124,894.08
2023-05-24,498,Segment A,466.79,34,72,0.611,696.83
2023-05-25,708,Segment C,226.77,58,98,0.924,349.54
2023-05-26,730,Segment A,153.04,2,147,0.837,267.38
2023-05-27,311,Segment B,95.62,30,96,0.961,953.59
2023-05-28,733,Segment A,293.28,23,192,0.167,424.53
2023-05-29,688,Segment A,70.46,93,435,0.626,352.34
2023-05-30,663,Segment C,274.28,56,138,0.303,257.57
2023-05-31,438,Segment A,102.17,7,248,0.121,607.42
2023-06-01,641,Segment A,322.36,88,454,0.363,796.31
2023-06-02,318,Segment C,264.02,28,310,0.167,642.85
2023-06-03,197,Segment A,407.22,45,153,0.997,649.99
2023-06-04,603,Segment C,79.67,28,306,0.449,437.73
2023-06-05,477,Segment A,384.68,11,184,0.529,987.33
2023-06-06,269,Segment A,129.03,93,205,0.756,558.58
2023-06-07,457,Segment B,116.49,16,274,0.978,149.9
2023-06-08,268,Segment C,153.12,6,84,0.597,728.17
2023-06-09,649,Segment B,324.82,28,129,0.3,667.24
2023-06-10,619,Segment A,291.99,83,190,0.997,462.68
2023-06-11,554,Segment A,35.52,33,299,0.105,497.89
2023-06-12,401,Segment B,431.45,35,297,0.362,914.11
2023-06-13,789,Segment A,46.1,71,130,0.328,531.93
2023-06-14,375,Segment A,41.25,4,85,0.992,886.5
2023-06-15,465,Segment C,97.26,55,405,0.9,935.41
2023-06-16,393,Segment B,51.74,16,223,0.636,669.65
2023-06-17,912,Segment C,198.73,47,166,0.29,302.09
2023-06-18,685,Segment A,423.96,39,296,0.843,755.06
2023-06-19,372,Segment A,16.15,25,149,0.234,830.35
2023-06-20,930,Segment A,409.64,2,159,0.196,121.03
2023-06-21,822,Segment B,266.17,84,250,0.655,939.48
2023-06-22,447,Segment B,305.41,9,440,0.68,922.86
2023-06-23,321,Segment A,430.97,25,191,0.991,631.78
2023-06-24,757,Segment B,210.86,84,413,0.266,185.48
2023-06-25,863,Segment B,249.02,96,77,0.179,366.82
2023-06-26,981,Segment A,182.12,91,182,0.731,413.8
2023-06-27,191,Segment B,19.0,85,200,0.943,223.81
2023-06-28,662,Segment C,379.73,48,186,0.458,697.32
2023-06-29,221,Segment A,393.76,34,481,0.342,558.34
2023-06-30,763,Segment A,392.21,90,493,0.93,784.96
2023-07-01,198,Segment A,175.96,66,169,0.318,285.65
2023-07-02,997,Segment B,477.52,10,480,0.94,533.73
2023-07-03,951,Segment A,112.62,72,192,0.766,831.82
2023-07-04,265,Segment A,332.32,59,302,0.834,789.93
2023-07-05,648,Segment A,455.21,63,448,0.955,985.07
2023-07-06,361,Segment C,302.01,19,324,0.998,804.98
2023-07-07,433,Segment C,243.68,54,296,0.366,331.74
2023-07-08,756,Segment C,433.76,16,242,0.334,415.91
2023-07-09,978,Segment B,144.95,13,475,0.176,961.44
2023-07-10,989,Segment A,343.88,45,148,0.832,617.82
2023-07-11,802,Segment B,184.17,77,454,0.875,872.73
2023-07-12,136,Segment A,108.07,87,321,0.983,851.57
2023-07-13,932,Segment A,348.75,83,394,0.449,441.51
2023-07-14,981,Segment B,27.42,96,350,0.943,129.86
2023-07-15,609,Segment B,24.06,41,231,0.375,561.67
2023-07-16,101,Segment A,131.04,81,476,0.497,112.02
2023-07-17,586,Segment B,71.76,30,177,0.849,890.38
2023-07-18,442,Segment A,323.07,24,414,0.736,388.12
2023-07-19,550,Segment C,490.09,70,217,0.997,271.34
2023-07-20,601,Segment A,268.51,66,206,0.294,903.4
2023-07-21,125,Segment C,70.76,12,284,0.564,850.44
2023-07-22,802,Segment A,471.85,65,314,0.909,291.53
2023-07-23,157,Segment A,238.92,49,368,0.208,721.68
2023-07-24,630,Segment C,363.88,90,444,0.297,193.62
2023-07-25,614,Segment A,165.35,46,148,0.609,477.93
2023-07-26,913,Segment B,352.23,55,158,0.974,718.85
2023-07-27,341,Segment B,263.5,52,213,0.717,618.2
2023-07-28,567,Segment A,341.79,4,361,0.319,559.48
2023-07-29,206,Segment A,239.37,74,155,0.222,466.57
2023-07-30,799,Segment B,302.24,51,146,0.537,256.68
2023-07-31,916,Segment A,481.73,52,456,0.634,345.1
2023-08-01,751,Segment B,415.07,46,423,0.662,743.66
2023-08-02,711,Segment C,295.55,69,472,0.111,200.15
2023-08-03,966,Segment A,292.85,31,435,0.354,428.73
2023-08-04,148,Segment C,493.53,62,104,0.351,163.96
2023-08-05,578,Segment B,113.28,19,271,0.754,291.95
2023-08-06,466,Segment C,357.03,82,353,0.256,794.64
2023-08-07,531,Segment B,80.29,51,357,0.45,869.08
2023-08-08,677,Segment C,53.0,55,219,0.31,203.48
2023-08-09,150,Segment B,267.53,2,365,0.765,869.52
2023-08-10,719,Segment A,100.36,99,432,0.544,684.71
2023-08-11,347,Segment A,189.14,62,320,0.471,158.02
2023-08-12,659,Segment A,185.79,77,214,0.346,839.92
2023-08-13,708,Segment B,288.62,44,76,0.923,777.83
2023-08-14,684,Segment A,90.04,27,335,0.553,139.6
2023-08-15,873,Segment C,116.74,83,256,0.217,782.82
2023-08-16,388,Segment A,174.7,47,211,0.54,969.73
2023-08-17,279,Segment A,388.75,96,359,0.552,961.9
2023-08-18,682,Segment B,102.54,91,492,0.261,453.74
2023-08-19,272,Segment A,418.79,25,346,0.28,379.62
2023-08-20,351,Segment B,44.5,98,487,0.822,778.82
2023-08-21,109,Segment B,93.24,68,123,0.263,511.42
2023-08-22,224,Segment C,126.86,31,146,0.897,563.96
2023-08-23,164,Segment A,76.22,5,163,0.73,122.66
2023-08-24,687,Segment C,425.41,63,333,0.654,434.57
2023-08-25,254,Segment A,462.34,23,445,0.667,746.95
2023-08-26,436,Segment C,434.16,11,473,0.208,413.0
2023-08-27,905,Segment B,268.16,64,348,0.832,843.58
2023-08-28,825,Segment B,460.33,87,283,0.143,907.83
2023-08-29,446,Segment A,315.01,26,276,0.167,521.13
2023-08-30,387,Segment A,185.54,52,305,0.221,136.82
2023-08-31,862,Segment C,297.31,16,358,0.909,424.36
2023-09-01,591,Segment A,139.12,26,131,0.182,892.04
2023-09-02,796,Segment B,427.96,86,462,0.822,525.31
2023-09-03,418,Segment B,400.95,19,355,0.559,571.71
2023-09-04,801,Segment B,119.89,29,416,0.899,261.0
2023-09-05,688,Segment A,399.67,3,370,0.943,865.86
2023-09-06,701,Segment A,262.86,64,402,0.473,274.69
2023-09-07,812,Segment A,321.53,58,440,0.821,845.46
2023-09-08,125,Segment B,354.8,78,148,0.842,246.7
2023-09-09,375,Segment C,212.93,31,444,0.754,594.99
2023-09-10,906,Segment A,276.6,14,200,0.525,749.21
2023-09-11,911,Segment B,371.23,66,441,0.774,363.83
2023-09-12,549,Segment A,190.18,3,483,0.969,782.35
2023-09-13,132,Segment A,88.95,26,469,0.885,399.35
2023-09-14,469,Segment B,223.55,36,59,0.245,647.93
2023-09-15,912,Segment A,157.68,95,306,0.821,895.9
2023-09-16,565,Segment B,382.37,26,205,0.471,505.89
2023-09-17,437,Segment C,244.48,1,301,0.562,184.35
2023-09-18,548,Segment B,282.51,19,127,0.95,579.37
2023-09-19,603,Segment A,131.98,31,303,0.706,394.38
2023-09-20,523,Segment B,289.66,99,117,0.683,988.16
2023-09-21,747,Segment B,15.31,86,61,0.744,973.35
2023-09-22,550,Segment B,455.69,10,114,0.306,209.41
2023-09-23,216,Segment A,363.45,96,410,0.354,130.09
2023-09-24,104,Segment A,436.65,66,463,0.425,422.33
2023-09-25,783,Segment B,280.18,10,273,0.927,628.23
2023-09-26,527,Segment C,93.99,74,235,0.722,860.13
2023-09-27,953,Segment A,335.48,14,235,0.859,421.73
2023-09-28,814,Segment A,179.85,81,207,0.374,841.72
2023-09-29,991,Segment A,264.62,37,140,0.349,818.58
2023-09-30,779,Segment A,266.55,85,236,0.41,137.26
2023-10-01,920,Segment A,441.12,33,393,0.137,539.75
2023-10-02,893,Segment A,129.58,60,378,0.202,153.53
2023-10-03,651,Segment A,15.6,24,216,0.992,834.4
2023-10-04,573,Segment B,258.37,95,161,0.644,152.97
2023-10-05,815,Segment C,387.02,79,205,0.178,631.58
2023-10-06,889,Segment C,214.67,31,484,0.856,997.75
2023-10-07,150,Segment A,379.09,90,424,0.815,483.78
2023-10-08,724,Segment C,159.24,54,173,0.64,322.29
2023-10-09,600,Segment A,310.8,50,467,0.627,422.9
2023-10-10,466,Segment C,190.27,14,255,0.435,336.71
2023-10-11,539,Segment B,477.53,10,469,0.214,763.24
2023-10-12,587,Segment B,138.9,54,354,0.521,721.5
2023-10-13,631,Segment C,222.09,62,421,0.469,273.27
2023-10-14,974,Segment B,137.2,10,433,0.578,924.47
2023-10-15,162,Segment B,118.21,13,368,0.352,594.24
2023-10-16,783,Segment B,363.54,91,386,0.163,665.24
2023-10-17,512,Segment B,469.33,43,456,0.292,943.69
2023-10-18,452,Segment B,153.11,34,199,0.867,319.95
2023-10-19,804,Segment A,96.16,89,130,0.776,557.09
2023-10-20,279,Segment C,499.12,10,71,0.638,512.85
2023-10-21,514,Segment C,211.87,73,294,0.487,958.67
2023-10-22,212,Segment A,331.13,89,59,0.803,723.43
2023-10-23,387,Segment A,29.48,76,273,0.858,229.25
2023-10-24,993,Segment C,146.18,43,419,0.774,737.9
2023-10-25,368,Segment B,122.92,98,329,0.134,162.46
2023-10-26,386,Segment A,430.93,13,299,0.605,527.35
2023-10-27,142,Segment A,483.38,52,245,0.549,481.32
2023-10-28,177,Segment A,103.91,3,302,0.943,132.58
2023-10-29,543,Segment C,447.76,3,365,0.157,111.78
2023-10-30,335,Segment B,278.94,80,77,0.485,237.73
2023-10-31,958,Segment A,89.14,87,293,0.519,382.6
2023-11-01,904,Segment C,64.25,54,180,0.271,155.51
2023-11-02,218,Segment C,179.03,9,431,0.302,991.69
2023-11-03,150,Segment A,61.86,36,110,0.963,375.04
2023-11-04,610,Segment B,73.63,37,302,0.278,710.57
2023-11-05,642,Segment B,30.02,58,334,0.849,947.19
2023-11-06,127,Segment C,298.44,1,493,0.647,772.65
2023-11-07,489,Segment C,65.64,52,405,0.538,338.24
2023-11-08,911,Segment C,367.74,55,105,0.473,442.66
2023-11-09,994,Segment A,490.67,18,419,0.373,489.74
2023-11-10,173,Segment C,92.43,78,411,0.782,928.54
2023-11-11,613,Segment B,73.86,23,373,0.261,332.11
2023-11-12,548,Segment B,188.76,28,122,0.594,471.31
2023-11-13,767,Segment C,392.28,24,318,0.738,862.5
2023-11-14,634,Segment B,490.71,14,229,0.425,397.77
2023-11-15,798,Segment C,205.99,72,432,0.102,772.96
2023-11-16,990,Segment B,359.94,34,228,0.831,991.45
2023-11-17,705,Segment C,243.84,58,467,0.809,461.23
2023-11-18,481,Segment B,402.81,6,204,0.187,998.88
2023-11-19,989,Segment B,252.15,58,257,0.115,322.9
2023-11-20,288,Segment B,441.42,21,86,0.906,178.95
2023-11-21,167,Segment A,60.75,8,147,0.406,765.2
2023-11-22,523,Segment C,455.56,38,236,0.333,964.72
2023-11-23,422,Segment C,496.18,58,253,0.139,910.54
2023-11-24,268,Segment A,114.12,15,335,0.731,963.87
2023-11-25,202,Segment B,471.21,92,336,0.632,955.48
2023-11-26,795,Segment A,424.17,86,279,0.899,868.1
2023-11-27,825,Segment C,170.1,11,376,0.124,889.56
2023-11-28,550,Segment B,110.32,6,111,0.654,238.9
2023-11-29,896,Segment A,216.85,81,211,0.109,392.23
2023-11-30,383,Segment C,212.24,46,220,0.91,987.76
2023-12-01,874,Segment A,212.75,98,354,0.176,370.87
2023-12-02,576,Segment B,40.91,96,232,0.423,925.38
2023-12-03,920,Segment C,23.55,68,265,0.92,514.98
2023-12-04,482,Segment A,199.14,77,268,0.108,107.58
2023-12-05,859,Segment C,245.35,23,221,0.666,511.92
2023-12-06,794,Segment A,104.49,69,142,0.714,540.97
